,Unnamed: 0,vector_sum_numpy,c_cuda_vector_sum,vector_sum_one_thread_python,cpu_cython_vector_sum,c_cpu_vector_sum
0,0,0.01,0.354,0.136,0.008,0.002
1,1000,0.01,0.297,0.253,0.002,0.003
2,2000,0.01,0.479,0.524,0.003,0.005
3,3000,0.011,0.377,1.092,0.005,0.01
4,4000,0.011,0.433,2.094,0.013,0.018
5,5000,0.013,0.433,4.178,0.017,0.035
6,6000,0.017,0.431,8.486,0.032,0.073
7,7000,0.024,0.327,16.812,0.063,0.141
8,8000,0.035,0.395,33.577,0.13,0.275
9,9000,0.062,0.549,66.912,0.267,0.572
10,10000,0.109,0.83,137.575,0.499,1.109
11,11000,0.206,1.387,269.289,1.007,2.235
12,12000,0.428,2.739,536.294,2.028,4.482
13,13000,0.88,4.948,1087.945,4.075,8.992
14,14000,1.812,9.629,0.0,8.233,18.045
15,15000,3.854,19.055,0.0,16.649,36.538
16,16000,7.36,38.311,0.0,32.999,72.42
17,17000,14.755,81.106,0.0,65.872,144.305
18,18000,31.362,155.851,0.0,133.22,295.612
19,19000,62.089,309.741,0.0,263.904,593.06
20,20000,124.139,612.665,0.0,533.502,1180.113
